iter	Passed	Remaining
0	3	307
1	5	283
2	8	290
3	11	265
4	14	266
5	16	262
6	19	255
7	22	253
8	24	250
9	27	250
10	30	247
11	33	245
12	36	245
13	39	241
14	42	239
15	44	235
16	47	231
17	50	228
18	53	226
19	55	223
20	58	220
21	61	217
22	63	213
23	67	212
24	70	210
25	73	208
26	76	205
27	78	203
28	82	200
29	85	198
30	88	195
31	90	192
32	93	189
33	96	186
34	98	183
35	101	180
36	103	177
37	106	173
38	109	171
39	112	168
40	115	165
41	116	160
42	119	157
43	121	155
44	124	152
45	128	150
46	131	147
47	133	145
48	136	142
49	139	139
50	142	136
51	144	133
52	147	130
53	150	127
54	152	124
55	154	121
56	157	118
57	159	115
58	162	113
59	165	110
60	168	107
61	170	104
62	173	101
63	176	99
64	178	96
65	182	93
66	184	90
67	187	88
68	189	85
69	192	82
70	195	79
71	197	76
72	200	74
73	202	71
74	205	68
75	207	65
76	210	62
77	213	60
78	216	57
79	219	54
80	221	51
81	224	49
82	226	46
83	229	43
84	231	40
85	234	38
86	237	35
87	239	32
88	242	29
89	244	27
90	247	24
91	249	21
92	252	19
93	255	16
94	257	13
95	260	10
96	263	8
97	265	5
98	268	2
99	270	0
